task,source,episode_id,n_frames,mean_phi,anomaly_rate,mean_mse,mean_ncc,sod_mean,sod_frac_in_CI,sod_ks_pvalue,nis_mean,nis_frac_in_CI,nis_ks_pvalue,pos_drift_vs_gt,ori_drift_vs_gt
pusht_iws,gt,openloop_ep0,199,0.920408280650575,0.0,0.0,1.0,1.0942076797861484,0.6243654822335025,1.930733681383865e-51,0.8755542247017961,0.46464646464646464,2.515208524112857e-75,0.0,0.0
pusht_iws,gt,openloop_ep1,199,0.6977522507012733,0.06030150753768844,0.0,1.0,4.199439947981077,0.7918781725888325,0.0016347432230584525,9.097208127353918,0.6111111111111112,6.713750708517564e-10,0.0,0.0
pusht_iws,gt,openloop_ep2,199,0.8048283070250971,0.03015075376884422,0.0,1.0,2.6625228410601025,0.7969543147208121,6.094667255836589e-11,3.811305234475083,0.6717171717171717,2.9042466918242233e-16,0.0,0.0
pusht_iws,gt,openloop_ep3,199,0.7826215982455854,0.04020100502512563,0.0,1.0,4.116593138099371,0.7258883248730964,1.8000739106279642e-16,11.132084911897923,0.5909090909090909,9.015071415220112e-11,0.0,0.0
pusht_iws,gt,openloop_ep4,199,0.6855510263025162,0.11557788944723618,0.0,1.0,2.912057646390131,0.8578680203045685,0.0004591650347829282,6.8694420692784,0.6161616161616161,2.7265434381118047e-08,0.0,0.0
pusht_iws,rollout,openloop_ep0,199,0.6078034490019307,0.06532663316582915,451.37884521484375,0.9026198746570989,4.2053678741052005,0.8375634517766497,0.004261844322564124,1.5976064632145122,0.6363636363636364,6.881975891031253e-31,6.744464903658017,0.12583346774023083
pusht_iws,rollout,openloop_ep1,199,0.674597570569671,0.03015075376884422,448.4340515136719,0.9018892274430049,23.956619725917506,0.7868020304568528,1.547517741450652e-05,33.31581771497474,0.5555555555555556,6.524220605541413e-13,70.09499508518634,2.323547912523592
pusht_iws,rollout,openloop_ep2,199,0.7449006315826172,0.07035175879396985,579.2465209960938,0.8800852804926772,51.76520733430002,0.7563451776649747,2.1875825677100044e-19,88.23676569723416,0.5656565656565656,2.311925691425147e-13,26.675906808785207,0.9337151833556998
pusht_iws,rollout,openloop_ep3,199,0.6968093735713455,0.05025125628140704,512.9862670898438,0.8927622515352527,5.794640445976303,0.7766497461928934,1.3408355126811548e-05,5.14432586511223,0.6717171717171717,1.328728641467852e-10,27.66830628137512,1.4963834494467185
pusht_iws,rollout,openloop_ep4,199,0.6489348060184688,0.10050251256281408,387.937255859375,0.917036686410856,5.474167762910531,0.8578680203045685,1.1604862327983623e-05,8.387510093991931,0.5909090909090909,3.7002554214626056e-14,4.401463546725428,0.11045993324170521
